LGA_CODE24,LGA_NAME24,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM,LOCI_URI21,WKT
10050,Albury,1,New South Wales,AUS,Australia,305.6386,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10050,"POLYGON ((146.817668 -36.067393, 146.824427 -36.088509, 146.872958 -36.073668, 146.880562 -36.087511, 146.906916 -36.084934, 146.907768 -36.111271, 146.92681 -36.097166, 146.943711 -36.115977, 146.956301 -36.078178, 146.981304 -36.094863, 147.006872 -36.083578, 147.035069 -36.114963, 147.053086 -36.107678, 147.061818 -36.066142, 147.096693 -36.040602, 147.048042 -35.945164, 146.968762 -35.913881, 146.9624 -35.940603, 146.934935 -35.947503, 146.952006 -35.988975, 146.848951 -36.024105, 146.834754 -36.01562, 146.817668 -36.067393))"
10180,Armidale,1,New South Wales,AUS,Australia,7809.4406,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10180,"POLYGON ((152.295723 -30.931019, 152.286787 -30.829856, 152.317036 -30.792624, 152.343863 -30.791888, 152.375838 -30.739863, 152.35841 -30.6842, 152.369297 -30.658892, 152.336881 -30.640459, 152.311728 -30.600178, 152.400258 -30.500929, 152.40831 -30.48872, 152.393242 -30.476402, 152.392056 -30.442904, 152.428084 -30.418884, 152.381925 -30.362615, 152.351785 -30.355347, 152.33733 -30.258146, 152.350396 -30.235165, 152.31048 -30.200799, 152.317079 -30.182106, 152.303197 -30.179172, 152.316586 -30.1617, 152.279418 -30.099203, 152.299859 -30.071117, 152.294647 -30.040781, 152.315178 -30.034196, 152.316885 -30.001447, 152.272166 -29.941688, 152.26699 -29.966411, 152.223227 -29.988218, 152.198056 -29.977918, 152.187492 -29.94476, 152.137224 -29.950583, 152.147361 -30.01682, 152.136237 -30.02127, 152.110272 -29.995864, 152.080704 -30.013998, 152.057111 -30.002811, 151.944341 -30.015958, 151.926456 -30.002758, 151.904803 -30.022042, 151.85139 -30.006349, 151.683588 -30.007339, 151.673219 -30.018378, 151.657526 -30.002763, 151.664283 -29.980776, 151.64555 -29.982683, 151.603426 -29.942686, 151.449854 -29.99708, 151.372251 -29.940191, 151.368332 -29.967224, 151.329684 -29.96265, 151.324655 -29.991055, 151.308192 -29.989032, 151.304754 -30.008, 151.276934 -30.004293, 151.25455 -30.048592, 151.257069 -30.105929, 151.29024 -30.113005, 151.290812 -30.143908, 151.305158 -30.145939, 151.292214 -30.171455, 151.31679 -30.165637, 151.310555 -30.22373, 151.32684 -30.22609, 151.304038 -30.265156, 151.323045 -30.267338, 151.346758 -30.305004, 151.324177 -30.336737, 151.397742 -30.369105, 151.402995 -30.386548, 151.451544 -30.39424, 151.461128 -30.418461, 151.447848 -30.428233, 151.465613 -30.451351, 151.472648 -30.437139, 151.528655 -30.441248, 151.583358 -30.497169, 151.582785 -30.551429, 151.639729 -30.593761, 151.64231 -30.636183, 151.67116 -30.666594, 151.774744 -30.686136, 151.738046 -30.6919, 151.734492 -30.71722, 151.719939 -30.715214, 151.730606 -30.741395, 151.7199 -30.795823, 151.775494 -30.777055, 151.836005 -30.785985, 151.936838 -30.757008, 151.959597 -30.803615, 152.004429 -30.811916, 152.015831 -30.80096, 152.015847 -30.824958, 152.033456 -30.843702, 152.048958 -30.839445, 152.039026 -30.86106, 152.084016 -30.843329, 152.117585 -30.869501, 152.150181 -30.867273, 152.177521 -30.915148, 152.295723 -30.931019))"
10250,Ballina,1,New South Wales,AUS,Australia,484.9692,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10250,"MULTIPOLYGON (((153.571062 -28.873807, 153.571174 -28.872745, 153.570726 -28.873867, 153.57149 -28.874112, 153.571982 -28.873584, 153.571062 -28.873807)), ((153.449642 -28.755034, 153.426797 -28.794499, 153.402249 -28.7851, 153.381916 -28.800066, 153.3963 -28.843002, 153.362517 -28.891873, 153.388647 -28.9167, 153.375544 -28.953882, 153.435856 -29.001089, 153.483545 -28.990724, 153.590092 -28.8776, 153.584386 -28.875427, 153.582179 -28.874985, 153.572918 -28.876919, 153.570752 -28.885058, 153.526951 -28.872878, 153.576795 -28.869826, 153.563449 -28.84707, 153.574875 -28.840152, 153.577049 -28.868436, 153.592045 -28.875579, 153.608829 -28.843263, 153.594474 -28.79311, 153.605117 -28.745666, 153.574988 -28.712003, 153.542535 -28.704285, 153.516857 -28.725688, 153.485185 -28.727095, 153.488459 -28.754027, 153.462904 -28.765603, 153.449642 -28.755034)))"
10300,Balranald,1,New South Wales,AUS,Australia,21690.7493,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10300,"POLYGON ((143.552466 -33.140468, 143.549405 -33.159704, 143.378308 -33.141256, 143.35568 -33.275928, 143.30819 -33.270781, 143.29491 -33.356303, 143.243271 -33.350698, 143.210828 -33.568596, 143.039524 -33.550246, 142.99242 -33.853555, 142.944763 -33.848391, 142.930987 -33.934761, 142.805877 -33.921909, 142.796562 -33.982917, 142.760117 -33.979194, 142.744407 -34.081812, 142.832678 -34.091318, 142.788822 -34.389316, 142.61249 -34.371287, 142.583381 -34.558018, 142.470435 -34.591335, 142.452334 -34.633485, 142.483651 -34.636422, 142.475592 -34.672605, 142.515862 -34.66367, 142.497273 -34.676542, 142.513675 -34.692204, 142.499751 -34.703125, 142.518956 -34.702933, 142.499578 -34.738599, 142.517051 -34.754809, 142.556751 -34.77536, 142.638696 -34.780739, 142.646371 -34.763302, 142.620504 -34.757114, 142.618323 -34.728739, 142.661419 -34.721693, 142.678961 -34.739188, 142.678653 -34.722332, 142.699412 -34.72446, 142.678906 -34.680834, 142.71076 -34.675757, 142.689213 -34.652533, 142.708796 -34.62265, 142.68951 -34.618284, 142.703973 -34.613494, 142.699987 -34.599366, 142.75918 -34.600123, 142.748298 -34.576747, 142.783764 -34.579063, 142.770207 -34.567946, 142.791435 -34.546376, 142.81011 -34.560842, 142.786903 -34.589344, 142.810645 -34.589292, 142.80335 -34.607078, 142.823784 -34.600481, 142.840686 -34.625738, 142.868348 -34.627442, 142.855186 -34.639761, 142.875133 -34.674493, 142.89287 -34.679492, 142.901534 -34.654945, 142.92385 -34.647843, 142.95927 -34.664969, 142.972715 -34.695194, 142.98942 -34.662565, 143.017287 -34.673647, 143.010961 -34.694074, 143.032773 -34.683028, 143.039047 -34.702515, 143.039224 -34.686616, 143.054829 -34.698841, 143.069927 -34.678282, 143.09038 -34.70132, 143.112987 -34.681086, 143.106543 -34.70115, 143.127615 -34.692732, 143.11803 -34.702979, 143.146542 -34.714714, 143.16241 -34.698088, 143.165367 -34.718123, 143.180993 -34.709468, 143.20092 -34.733434, 143.222093 -34.731742, 143.224395 -34.758712, 143.240667 -34.745448, 143.248933 -34.757843, 143.265291 -34.748545, 143.274022 -34.752672, 143.252136 -34.77279, 143.273012 -34.776399, 143.276742 -34.792248, 143.308851 -34.779926, 143.349874 -34.792929, 143.359565 -34.816886, 143.341197 -34.846296, 143.354964 -34.846026, 143.352569 -34.858222, 143.354709 -34.876319, 143.373475 -34.858994, 143.371008 -34.872889, 143.395185 -34.86843, 143.417513 -34.894755, 143.473432 -34.90677, 143.474112 -34.967896, 143.491006 -34.972403, 143.508679 -34.821644, 143.541646 -34.731721, 143.574793 -34.735557, 143.593269 -34.706415, 143.58389 -34.693385, 143.627721 -34.689374, 143.635884 -34.63498, 143.615459 -34.630382, 143.657566 -34.603845, 143.632406 -34.585208, 143.653133 -34.571927, 143.634765 -34.560813, 143.659115 -34.521944, 143.689519 -34.513367, 143.675949 -34.506432, 143.683246 -34.485872, 143.71658 -34.482518, 143.731984 -34.422389, 143.755095 -34.396301, 143.784754 -34.392021, 143.785905 -34.375534, 143.839766 -34.368459, 143.841844 -34.354089, 143.88194 -34.350529, 143.89971 -34.330714, 143.930443 -34.362933, 143.945696 -34.356815, 144.037138 -34.273174, 144.063803 -34.273104, 144.074145 -34.220632, 144.103833 -34.214936, 144.118417 -34.189221, 144.211993 -34.252288, 144.248583 -34.230582, 144.317304 -34.246408, 144.37398 -34.239004, 144.391421 -34.21821, 144.469994 -34.222918, 144.550584 -34.172985, 144.562256 -34.12899, 144.574948 -34.13526, 144.628978 -34.086772, 144.675911 -34.084947, 144.688136 -34.069509, 144.68752 -34.048442, 144.55825 -34.028376, 144.578458 -33.886513, 144.542289 -33.882289, 144.55644 -33.733238, 144.513197 -33.728263, 144.531352 -33.61043, 144.447643 -33.601526, 144.460545 -33.516297, 144.431588 -33.513047, 144.441431 -33.452504, 144.382449 -33.44034, 144.395482 -33.363298, 144.364924 -33.359834, 144.368703 -33.282675, 144.262647 -33.272893, 144.277784 -33.254203, 144.236261 -33.249816, 144.251433 -33.155056, 143.905913 -33.115694, 143.898199 -33.161379, 143.839029 -33.154577, 143.816669 -33.137432, 143.789883 -33.148852, 143.720957 -33.140439, 143.666489 -33.17908, 143.637295 -33.149903, 143.552466 -33.140468))"
10470,Bathurst,1,New South Wales,AUS,Australia,3817.8645,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10470,"POLYGON ((149.394692 -33.997546, 149.413502 -33.857426, 149.444159 -33.861341, 149.425852 -33.847554, 149.437158 -33.834088, 149.483582 -33.846334, 149.499616 -33.748011, 149.570644 -33.743807, 149.576155 -33.715127, 149.611758 -33.708122, 149.611472 -33.682059, 149.630801 -33.667145, 149.681573 -33.684021, 149.719015 -33.626541, 149.658771 -33.59918, 149.668036 -33.590002, 149.644804 -33.553876, 149.613409 -33.560256, 149.623892 -33.492984, 149.664131 -33.484818, 149.709439 -33.530954, 149.753008 -33.541304, 149.77382 -33.52204, 149.792653 -33.547518, 149.869606 -33.51988, 149.907144 -33.510326, 149.922179 -33.477803, 149.919432 -33.440554, 149.901921 -33.438058, 149.913718 -33.377119, 149.885419 -33.37064, 149.878489 -33.344632, 149.832287 -33.323678, 149.821383 -33.298935, 149.83637 -33.257372, 149.808109 -33.253471, 149.828462 -33.223606, 149.780633 -33.20856, 149.774182 -33.180111, 149.751926 -33.177333, 149.771977 -33.115837, 149.763914 -33.099111, 149.737602 -33.105504, 149.650837 -33.069022, 149.662188 -33.053911, 149.640019 -33.038256, 149.654201 -33.032039, 149.638578 -33.020167, 149.648108 -32.993163, 149.586461 -32.993749, 149.539104 -32.971931, 149.496552 -32.980282, 149.456575 -32.948603, 149.427478 -32.985545, 149.403037 -32.976059, 149.401747 -32.998834, 149.383622 -32.991751, 149.34348 -33.062612, 149.322961 -33.059144, 149.317153 -33.146601, 149.350451 -33.151074, 149.349458 -33.184258, 149.344228 -33.238805, 149.313419 -33.238973, 149.310843 -33.275992, 149.33721 -33.327929, 149.312727 -33.350591, 149.29895 -33.427675, 149.341533 -33.432388, 149.3413 -33.446549, 149.363451 -33.452923, 149.35359 -33.526546, 149.422063 -33.543527, 149.400385 -33.683174, 149.356037 -33.710832, 149.33482 -33.744918, 149.317379 -33.742542, 149.316382 -33.723959, 149.257749 -33.740643, 149.219422 -33.792351, 149.185167 -33.797693, 149.18336 -33.838857, 149.17029 -33.841165, 149.181897 -33.858192, 149.14563 -33.850423, 149.118172 -33.870564, 149.119842 -33.887816, 149.154979 -33.927139, 149.14451 -33.957919, 149.179351 -33.984664, 149.217902 -33.963591, 149.235514 -33.979641, 149.233879 -33.967644, 149.299235 -33.946171, 149.347784 -33.953286, 149.352071 -33.971223, 149.394692 -33.997546))"
10500,Bayside (NSW),1,New South Wales,AUS,Australia,50.6204,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10500,"POLYGON ((151.154981 -33.926181, 151.100788 -33.939247, 151.118867 -33.969357, 151.137961 -33.959815, 151.128244 -34.005984, 151.149477 -33.994187, 151.166083 -33.950217, 151.181725 -33.967885, 151.185847 -33.95214, 151.192727 -33.973912, 151.192354 -33.95421, 151.212466 -33.963499, 151.208074 -33.964838, 151.205751 -33.96452, 151.199103 -33.959856, 151.202079 -33.971311, 151.220661 -33.968421, 151.23039 -33.933861, 151.214273 -33.924319, 151.179354 -33.920175, 151.154981 -33.926181))"
10550,Bega Valley,1,New South Wales,AUS,Australia,6278.5013,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10550,"MULTIPOLYGON (((150.052607 -37.262529, 150.052683 -37.262444, 150.052235 -37.262148, 150.052177 -37.262327, 150.052607 -37.262529)), ((149.913737 -37.069344, 149.913907 -37.069241, 149.913719 -37.06906, 149.913654 -37.069134, 149.913737 -37.069344)), ((149.946066 -37.056286, 149.946133 -37.056465, 149.946467 -37.056401, 149.946408 -37.056202, 149.946066 -37.056286)), ((149.944963 -37.052973, 149.945203 -37.052732, 149.945254 -37.052482, 149.944935 -37.052711, 149.944963 -37.052973)), ((149.948077 -37.017568, 149.948412 -37.018031, 149.948936 -37.018191, 149.948182 -37.017207, 149.948077 -37.017568)), ((149.946429 -36.949302, 149.946707 -36.949554, 149.947155 -36.949537, 149.946269 -36.948724, 149.946429 -36.949302)), ((149.945984 -36.949215, 149.946017 -36.949331, 149.946151 -36.949334, 149.946046 -36.949169, 149.945984 -36.949215)), ((150.019641 -37.183857, 150.019346 -37.183207, 150.019057 -37.1832, 150.019169 -37.183623, 150.019641 -37.183857)), ((150.021381 -37.188874, 150.021582 -37.188657, 150.021468 -37.188294, 150.02129 -37.188461, 150.021381 -37.188874)), ((150.052037 -37.263109, 150.051737 -37.26337, 150.052094 -37.263668, 150.052195 -37.263612, 150.052037 -37.263109)), ((150.051138 -37.26357, 150.051304 -37.263428, 150.051374 -37.263127, 150.051097 -37.263132, 150.051138 -37.26357)), ((150.010617 -37.173905, 150.010745 -37.173899, 150.010777 -37.173627, 150.010354 -37.173778, 150.010617 -37.173905)), ((150.020256 -37.183999, 150.020528 -37.183855, 150.020594 -37.183719, 150.020212 -37.18382, 150.020256 -37.183999)), ((150.018837 -37.183357, 150.018908 -37.183171, 150.018635 -37.183053, 150.018682 -37.183225, 150.018837 -37.183357)), ((149.955025 -37.108687, 149.954775 -37.10837, 149.954347 -37.108397, 149.954881 -37.10864, 149.955025 -37.108687)), ((149.956443 -37.10936, 149.956615 -37.109398, 149.956488 -37.10917, 149.956415 -37.109319, 149.956443 -37.10936)), ((149.957041 -37.109545, 149.957171 -37.10951, 149.95702 -37.109346, 149.956999 -37.109483, 149.957041 -37.109545)), ((149.969888 -36.785908, 149.969061 -36.785641, 149.969323 -36.787019, 149.96935 -36.786682, 149.969888 -36.785908)), ((149.982432 -36.757009, 149.982742 -36.757091, 149.982626 -36.756573, 149.982372 -36.756649, 149.982432 -36.757009)), ((150.050603 -36.585555, 150.051122 -36.585863, 150.051448 -36.585692, 150.050584 -36.58538, 150.050603 -36.585555)), ((150.00576 -37.140894, 150.005277 -37.142284, 150.006321 -37.1426, 150.006645 -37.141773, 150.00576 -37.140894)), ((150.000557 -37.141478, 150.000167 -37.140846, 149.999974 -37.140825, 149.999916 -37.141197, 150.000557 -37.141478)), ((149.959893 -37.114123, 149.960057 -37.114099, 149.960085 -37.11368, 149.959884 -37.113753, 149.959893 -37.114123)), ((150.005194 -37.162774, 150.005408 -37.162739, 150.005448 -37.162693, 150.005219 -37.162625, 150.005194 -37.162774)), ((150.005337 -37.162567, 150.005349 -37.162438, 150.005205 -37.162481, 150.005196 -37.162548, 150.005337 -37.162567)), ((149.973075 -36.779194, 149.973615 -36.778391, 149.97322 -36.778033, 149.972993 -36.778062, 149.973075 -36.779194)), ((149.973076 -36.777761, 149.973592 -36.777794, 149.973791 -36.777513, 149.973469 -36.777315, 149.973076 -36.777761)), ((149.990964 -36.729487, 149.991383 -36.729615, 149.991486 -36.729397, 149.991149 -36.729248, 149.990964 -36.729487)), ((149.983382 -36.75292, 149.983336 -36.752472, 149.983109 -36.752279, 149.982795 -36.752565, 149.983382 -36.75292)), ((149.983241 -36.74908, 149.982986 -36.749405, 149.983184 -36.749797, 149.983411 -36.749632, 149.983241 -36.74908)), ((149.983626 -36.749696, 149.983723 -36.749967, 149.983855 -36.749399, 149.983685 -36.749489, 149.983626 -36.749696)), ((150.057334 -36.487383, 150.057491 -36.48714, 150.057497 -36.487094, 150.057108 -36.4873, 150.057334 -36.487383)), ((150.060569 -36.497578, 150.060792 -36.49749, 150.060889 -36.497362, 150.060786 -36.497341, 150.060569 -36.497578)), ((150.056934 -36.487623, 150.057148 -36.487497, 150.057066 -36.487403, 150.05692 -36.487488, 150.056934 -36.487623)), ((150.057289 -36.486562, 150.057348 -36.486502, 150.057365 -36.486418, 150.057201 -36.486487, 150.057289 -36.486562)), ((150.056458 -36.487861, 150.056535 -36.487836, 150.056563 -36.487733, 150.056394 -36.487802, 150.056458 -36.487861)), ((150.056204 -36.496043, 150.056324 -36.495923, 150.056329 -36.495859, 150.056223 -36.495899, 150.056204 -36.496043)), ((149.913177 -37.069663, 149.913482 -37.069835, 149.913626 -37.069686, 149.91318 -37.069511, 149.913177 -37.069663)), ((149.944615 -37.055811, 149.944803 -37.055523, 149.944757 -37.055468, 149.944571 -37.055563, 149.944615 -37.055811)), ((149.916349 -37.073993, 149.916338 -37.073913, 149.916212 -37.07389, 149.916249 -37.073975, 149.916349 -37.073993)), ((149.934839 -36.885057, 149.934973 -36.884884, 149.934923 -36.884726, 149.934818 -36.884832, 149.934839 -36.885057)), ((149.931541 -36.897509, 149.931595 -36.897526, 149.931768 -36.897441, 149.931574 -36.897428, 149.931541 -36.897509)), ((150.074777 -36.4429, 150.075117 -36.442799, 150.074989 -36.442583, 150.074773 -36.442783, 150.074777 -36.4429)), ((150.066842 -36.414105, 150.066911 -36.413789, 150.06672 -36.413654, 150.066698 -36.413924, 150.066842 -36.414105)), ((150.0725 -36.465688, 150.072736 -36.46563, 150.072715 -36.465457, 150.072556 -36.465508, 150.0725 -36.465688)), ((150.07212 -36.465333, 150.072289 -36.465355, 150.072403 -36.46523, 150.072178 -36.465181, 150.07212 -36.465333)), ((150.072517 -36.460552, 150.072398 -36.460709, 150.072728 -36.460717, 150.07268 -36.460615, 150.072517 -36.460552)), ((150.06694 -36.415779, 150.066784 -36.415944, 150.066918 -36.416078, 150.066947 -36.415901, 150.06694 -36.415779)), ((150.067632 -36.417635, 150.067683 -36.417603, 150.067688 -36.417357, 150.067594 -36.417434, 150.067632 -36.417635)), ((150.071788 -36.447907, 150.071938 -36.447839, 150.07195 -36.447697, 150.071777 -36.447823, 150.071788 -36.447907)), ((150.074459 -36.421741, 150.074358 -36.421744, 150.074253 -36.422044, 150.074303 -36.422045, 150.074459 -36.421741)), ((150.072226 -36.450031, 150.072345 -36.449998, 150.072531 -36.449765, 150.072305 -36.449908, 150.072226 -36.450031)), ((150.072755 -36.465885, 150.072895 -36.465827, 150.072933 -36.465756, 150.072827 -36.46573, 150.072755 -36.465885)), ((150.072333 -36.453028, 150.072403 -36.453025, 150.072439 -36.452886, 150.072326 -36.4529, 150.072333 -36.453028)), ((150.073789 -36.421777, 150.073902 -36.421634, 150.073833 -36.421557, 150.073748 -36.421712, 150.073789 -36.421777)), ((150.072358 -36.453367, 150.072487 -36.453464, 150.072437 -36.45331, 150.072346 -36.453268, 150.072358 -36.453367)), ((150.072553 -36.452782, 150.072633 -36.452763, 150.0726 -36.452665, 150.072512 -36.452716, 150.072553 -36.452782)), ((150.074147 -36.422004, 150.074289 -36.42187, 150.074262 -36.421823, 150.074212 -36.421816, 150.074147 -36.422004)), ((150.073012 -36.453961, 150.073123 -36.453936, 150.073129 -36.453911, 150.072993 -36.453869, 150.073012 -36.453961)), ((150.072146 -36.450518, 150.072214 -36.450549, 150.072287 -36.450473, 150.072193 -36.450423, 150.072146 -36.450518)), ((150.07282 -36.452838, 150.072887 -36.452769, 150.072772 -36.452713, 150.072768 -36.452808, 150.07282 -36.452838)), ((150.074991 -36.421569, 150.075054 -36.421552, 150.075057 -36.421474, 150.074943 -36.421491, 150.074991 -36.421569)), ((150.072657 -36.448964, 150.072835 -36.448944, 150.072815 -36.448878, 150.072727 -36.448864, 150.072657 -36.448964)), ((150.072761 -36.45359, 150.072873 -36.453582, 150.072887 -36.453518, 150.072765 -36.453534, 150.072761 -36.45359)), ((150.074093 -36.421906, 150.074144 -36.421884, 150.074178 -36.421734, 150.074129 -36.421721, 150.074093 -36.421906)), ((150.015232 -36.645233, 150.015004 -36.645396, 150.015151 -36.645586, 150.015212 -36.645512, 150.015232 -36.645233)), ((150.080722 -36.42338, 150.080928 -36.423315, 150.080924 -36.42315, 150.080705 -36.423162, 150.080722 -36.42338)), ((150.08206 -36.422576, 150.082134 -36.422484, 150.082038 -36.422346, 150.081967 -36.422459, 150.08206 -36.422576)), ((150.080564 -36.37868, 150.080574 -36.378414, 150.080095 -36.378201, 150.080331 -36.378579, 150.080564 -36.37868)), ((150.080013 -36.379112, 150.080232 -36.379108, 150.080212 -36.378948, 150.080027 -36.378908, 150.080013 -36.379112)), ((150.079228 -36.378909, 150.079455 -36.378862, 150.07943 -36.378711, 150.079239 -36.378742, 150.079228 -36.378909)), ((149.976198 -37.505147, 149.975415 -37.445437, 149.956559 -37.423496, 149.949836 -37.374656, 149.969731 -37.309684, 149.944013 -37.277716, 149.986875 -37.239937, 150.051937 -37.26226, 150.010861 -37.211818, 150.012097 -37.211198, 150.013139 -37.211304, 150.015222 -37.214319, 150.023494 -37.211971, 150.004874 -37.141256, 149.987621 -37.141111, 149.953794 -37.100875, 149.91139 -37.111787, 149.87831 -37.101031, 149.872519 -37.083195, 149.914852 -37.076106, 149.923419 -37.046293, 149.944657 -37.053983, 149.947737 -37.017543, 149.92667 -36.992047, 149.945923 -36.949117, 149.913441 -36.944579, 149.904793 -36.914635, 149.919702 -36.895428, 149.938107 -36.90244, 149.930177 -36.873975, 149.950016 -36.855377, 149.934357 -36.844113, 149.940626 -36.81167, 149.977203 -36.769618, 149.991874 -36.725559, 149.979311 -36.722215, 149.982762 -36.702268, 150.068282 -36.554159, 150.054817 -36.48817, 150.084765 -36.429181, 150.065287 -36.410037, 150.08327 -36.3637, 150.05278 -36.343207, 150.057396 -36.363186, 150.032537 -36.345727, 150.019022 -36.364334, 149.98743 -36.358383, 149.967761 -36.318732, 149.950507 -36.323624, 149.953051 -36.268773, 149.739839 -36.23975, 149.640466 -36.195525, 149.651031 -36.131222, 149.58341 -36.142677, 149.569831 -36.202081, 149.536576 -36.224521, 149.602309 -36.33783, 149.539196 -36.365593, 149.542057 -36.399168, 149.484481 -36.429798, 149.457187 -36.485219, 149.471492 -36.504133, 149.45543 -36.52955, 149.384012 -36.564567, 149.378653 -36.594662, 149.414982 -36.650856, 149.464646 -36.655406, 149.438815 -36.701042, 149.459695 -36.71664, 149.438043 -36.776173, 149.485554 -36.789458, 149.48458 -36.819294, 149.510252 -36.830822, 149.502699 -36.845627, 149.377037 -36.874818, 149.387904 -36.913941, 149.374985 -36.958823, 149.399238 -36.981777, 149.394762 -37.001744, 149.418136 -37.006319, 149.397912 -37.020631, 149.401818 -37.115362, 149.356468 -37.262827, 149.976198 -37.505147)), ((150.08067 -36.375853, 150.080874 -36.375642, 150.080868 -36.375485, 150.080689 -36.375672, 150.08067 -36.375853)), ((150.081407 -36.37805, 150.081479 -36.378149, 150.081632 -36.378136, 150.081571 -36.378021, 150.081407 -36.37805)), ((150.081759 -36.376996, 150.081842 -36.376881, 150.081686 -36.376835, 150.081589 -36.37695, 150.081759 -36.376996)), ((150.081461 -36.375446, 150.081519 -36.37532, 150.081377 -36.375253, 150.081321 -36.375337, 150.081461 -36.375446)), ((150.080442 -36.37806, 150.080539 -36.377935, 150.080488 -36.377902, 150.080311 -36.378036, 150.080442 -36.37806)), ((150.081215 -36.37676, 150.081324 -36.376667, 150.081128 -36.376609, 150.081113 -36.376651, 150.081215 -36.37676)))"
10600,Bellingen,1,New South Wales,AUS,Australia,1600.4338,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10600,"POLYGON ((152.803459 -30.189554, 152.692993 -30.189003, 152.707457 -30.204233, 152.697648 -30.223757, 152.646752 -30.258206, 152.561234 -30.233626, 152.555009 -30.280915, 152.493362 -30.336853, 152.480483 -30.33248, 152.484638 -30.390782, 152.438061 -30.400233, 152.428084 -30.418884, 152.392056 -30.442904, 152.393242 -30.476402, 152.40831 -30.48872, 152.630302 -30.539565, 152.73197 -30.522609, 152.841393 -30.532467, 152.857429 -30.546284, 152.865139 -30.53534, 152.887663 -30.556553, 153.016867 -30.565166, 153.060205 -30.448741, 152.957629 -30.388746, 152.965471 -30.348504, 152.819786 -30.300357, 152.820136 -30.265788, 152.833112 -30.27339, 152.855388 -30.25343, 152.803459 -30.189554))"
10650,Berrigan,1,New South Wales,AUS,Australia,2065.8878,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10650,"POLYGON ((145.484524 -35.511982, 145.459055 -35.611836, 145.456916 -35.697531, 145.392982 -35.727266, 145.343009 -35.711689, 145.332045 -35.764547, 145.346874 -35.793685, 145.343415 -35.845508, 145.36373 -35.847928, 145.360175 -35.861811, 145.41049 -35.848685, 145.41988 -35.828161, 145.462532 -35.826856, 145.472134 -35.809217, 145.52166 -35.818642, 145.535592 -35.801972, 145.53877 -35.8218, 145.562841 -35.813436, 145.558003 -35.828217, 145.593237 -35.849064, 145.601141 -35.874995, 145.626353 -35.862745, 145.620327 -35.883872, 145.679059 -35.916816, 145.673871 -35.92588, 145.698187 -35.920964, 145.697333 -35.936489, 145.726307 -35.942299, 145.716771 -35.950581, 145.778217 -35.96023, 145.810041 -35.991354, 145.827554 -35.975425, 145.847224 -35.982018, 145.870432 -35.955484, 145.908013 -35.953552, 145.902939 -35.968843, 145.928167 -35.973948, 145.94608 -35.961321, 145.987914 -35.747318, 145.990589 -35.718562, 145.9738 -35.704548, 145.978149 -35.68157, 145.991587 -35.683274, 145.99802 -35.649799, 145.984633 -35.648145, 146.004498 -35.638139, 145.994134 -35.622229, 146.00765 -35.586929, 145.791919 -35.555678, 145.793664 -35.544431, 145.737868 -35.537697, 145.721463 -35.549362, 145.484524 -35.511982))"
10750,Blacktown,1,New South Wales,AUS,Australia,238.8471,https://linked.data.gov.au/dataset/asgsed3/LGA2024/10750,"POLYGON ((150.812912 -33.822346, 150.908906 -33.825369, 150.950643 -33.785053, 150.965322 -33.779411, 150.958894 -33.768272, 150.911769 -33.67579, 150.874045 -33.656658, 150.858746 -33.646304, 150.8124 -33.677601, 150.766109 -33.705498, 150.759635 -33.730063, 150.793026 -33.753472, 150.812912 -33.822346))"
